title,authors,publisher,published_date,description,page_count,categories,language,isbn_10,isbn_13,rating,ratings_count,source,subtitle,primary_category,final_category,search_query,collection_date,difficulty_level,programming_languages,key_topics
Programming with Class,"Samuel N. Kamin, Edward M. Reingold","McGraw-Hill Science, Engineering & Mathematics",1995-12,,0,C (Computer program language),en,0070518335,9780070518339.0,0.0,0,Google Books,,,,,,,,
Computer Programming for Absolute Beginners,Joakim Wassberg,,2020-06,,320,Computers,en,1839216867,9781839216862.0,0.0,0,Google Books,,,,,,,,
Introduction to Programming and Computer Science,Anthony Ralston,,1978,,552,Computers,en,,,0.0,0,Google Books,,,,,,,,
The Art and Craft of Computing,"Stefano Ceri, Dino Mandrioli, Licia Sbattella",Addison Wesley Publishing Company,1998,"Gives students a firm rooting in the fundamental principles of computer science, and an appreciation of the correlation between those principles and an introduction to programming. Maintains strong coverage of the topics taught in the traditional introductory courses including algorithms and basic elements of programming languages and then goes further to introduce higher level topics such as the structures of operating systems, databases and productivity tools.",748,Computers,en,,,0.0,0,Google Books,,,,,,,,
Careers in Computer Science and Programming,Jeri Freedman,"The Rosen Publishing Group, Inc",2011-01-15,"Presents the different computer science and programming careers available today. It provides practical advice on obtaining each of these careers, including educational requirements and necessary training.",82,Juvenile Nonfiction,en,1448823420,9781448823420.0,0.0,0,Google Books,,,,,,,,
Proceedings: Computer Science Program,,,1985,,376,Computers,en,,,0.0,0,Google Books,,,,,,,,
Introduction to Scientific Programming,Joseph L. Zachary,Springer Science & Business Media,2012-12-06,"""Introduction to Computational Science"" was developed over a period of two years at the University of Utah Department of Computer Science in conjunction with the U.S. Department of Energy-funded Undergraduate Computation in Engineering Science (UCES) program. Each chapter begins by introducing a problem and then guiding the student through its solution. The computational techniques needed to solve the problem are developed as necassary, making the motivation for learning the computing alwasy app",390,Computers,en,1461223660,9781461223665.0,0.0,0,Google Books,,,,,,,,
Study and Research Guide in Computer Science,"Wolfgang Tölle, Jason Yasner, Michael Pieper",Springer Science & Business Media,2012-12-06,"Computer science departments at universities in the U.S.A. are world renowned. This handy reference guide gives detailed profiles of 40 of the best known among them. The profiles are organized in a uniform layout to present basic information, faculty, curriculum, courses for graduate students, affiilated institutions, facilities, research areas, funding, selected projects, and collaborations. Two full alphabetical listings of professors are included, one giving their universities and the other t",177,Computers,en,3642773931,9783642773938.0,0.0,0,Google Books,,,,,,,,
Computer Science and Scientific Computing,James M. Ortega,Elsevier,2014-05-10,"Computer Science and Scientific Computing contains the proceedings of the Third ICASE Conference on Scientific Computing held in Williamsburg, Virginia, on April l and 2, 1976, under the auspices of the Institute for Computer Applications in Systems Engineering at the NASA Langley Research Center. The conference provided a forum for reviewing all the aspects of scientific computing and covered topics ranging from computer-aided design (CAD) and computer science technology to the design of large ",317,Computers,en,1483272486,9781483272481.0,0.0,0,Google Books,,,,,,,,
"Dictionary of Computer Science, Engineering and Technology",Philip A. Laplante,CRC Press,2000-12-21,"A complete lexicon of technical information, the Dictionary of Computer Science, Engineering, and Technology provides workable definitions, practical information, and enhances general computer science and engineering literacy. It spans various disciplines and industry sectors such as: telecommunications, information theory, and software and hardware systems. If you work with, or write about computers, this dictionary is the single most important resource you can put on your shelf. The dictionary",566,Technology & Engineering,en,0849326915,9780849326912.0,5.0,4,Google Books,,,,,,,,
Innovative Teaching Strategies and New Learning Paradigms in Computer Programming,Ricardo Queirós,IGI Global,2014-11-30,"Courses in computer programming combine a number of different concepts, from general problem-solving to mathematical precepts such as algorithms and computational intelligence. Due to the complex nature of computer science education, teaching the novice programmer can be a challenge. Innovative Teaching Strategies and New Learning Paradigms in Computer Programming brings together pedagogical and technological methods to address the recent challenges that have developed in computer programming co",339,Education,en,1466673052,9781466673052.0,0.0,0,Google Books,,,,,,,,
